timestamp,flow_key,pkt_count,byte_count,duration_s,avg_pkt_size,avg_iat_ms,max_iat_ms
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 53867, 17)",1,162,0.0,162.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 58098, 17)",1,424,0.0,424.0,0.0,0
1776232285.101814,"('172.20.211.225', '74.125.138.93', 59261, 443, 6)",14,3785,0.0566,270.36,4.35,52.15
1776232285.101814,"('172.20.211.225', '128.192.0.0', 52632, 53, 17)",1,75,0.0,75.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 57241, 53, 17)",1,75,0.0,75.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 52470, 53, 17)",1,85,0.0,85.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 62096, 53, 17)",1,85,0.0,85.0,0.0,0
1776232285.101814,"('74.125.138.93', '172.20.211.225', 443, 59261, 6)",15,8788,0.0566,585.87,4.04,51.61
1776232285.101814,"('172.20.211.225', '142.251.150.119', 49673, 443, 17)",7,4263,0.0018,609.0,0.3,1.1
1776232285.101814,"('172.20.211.225', '128.192.0.0', 56680, 53, 17)",1,84,0.0,84.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 52632, 17)",1,135,0.0,135.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 52470, 17)",1,195,0.0,195.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 57241, 17)",1,349,0.0,349.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 62096, 17)",1,409,0.0,409.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 50208, 53, 17)",1,84,0.0,84.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 56680, 17)",1,144,0.0,144.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 50208, 17)",1,358,0.0,358.0,0.0,0
1776232285.101814,"('142.251.150.119', '172.20.211.225', 443, 49673, 17)",7,5912,0.0007,844.57,0.12,0.7
1776232285.101814,"('172.20.211.225', '64.233.185.94', 62143, 443, 17)",8,4476,0.0028,559.5,0.4,2.1
1776232285.101814,"('172.20.211.225', '74.125.21.132', 58763, 443, 17)",10,4508,0.0026,450.8,0.29,2.1
1776232285.101814,"('172.20.211.225', '128.192.0.0', 60066, 53, 17)",1,77,0.0,77.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 59065, 53, 17)",1,77,0.0,77.0,0.0,0
1776232285.101814,"('64.233.185.94', '172.20.211.225', 443, 62143, 17)",7,7580,0.0026,1082.86,0.44,2.1
1776232285.101814,"('172.20.211.225', '74.125.138.97', 50639, 443, 17)",9,4421,0.0032,491.22,0.4,2.1
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 60066, 17)",1,127,0.0,127.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 59065, 17)",1,421,0.0,421.0,0.0,0
1776232285.101814,"('74.125.21.132', '172.20.211.225', 443, 58763, 17)",7,8665,0.0548,1237.86,9.13,52.15
1776232285.101814,"('74.125.138.97', '172.20.211.225', 443, 50639, 17)",8,7827,0.0548,978.38,7.82,51.61
1776232285.101814,"('172.20.211.225', '64.233.185.101', 62231, 443, 6)",6,2137,0.0548,356.17,10.95,51.61
1776232285.101814,"('172.20.211.225', '128.192.0.0', 57210, 53, 17)",1,88,0.0,88.0,0.0,0
1776232285.101814,"('172.20.211.225', '128.192.0.0', 50769, 53, 17)",1,88,0.0,88.0,0.0,0
1776232285.101814,"('128.192.0.0', '172.20.211.225', 53, 57210, 17)",1,148,0.0,148.0,0.0,0
